year,block,equation,description,value
2027,Source: c_g_grp,Manufacturing (c_m_g),,30.6351
2028,Source: c_g_grp,Manufacturing (c_m_g),,37.37377
2029,Source: c_g_grp,Manufacturing (c_m_g),,54.60988
2030,Source: c_g_grp,Manufacturing (c_m_g),,63.61188
2031,Source: c_g_grp,Manufacturing (c_m_g),,67.32927
2032,Source: c_g_grp,Manufacturing (c_m_g),,69.71959
2024,Source: c_g_grp,Energy and Water (c_e_g),,0.00193978
2025,Source: c_g_grp,Energy and Water (c_e_g),,0.00230684
2026,Source: c_g_grp,Energy and Water (c_e_g),,0.00263496
2027,Source: c_g_grp,Energy and Water (c_e_g),,0.00320092
2028,Source: c_g_grp,Energy and Water (c_e_g),,0.00355265
2029,Source: c_g_grp,Energy and Water (c_e_g),,0.00383331
2030,Source: c_g_grp,Energy and Water (c_e_g),,0.00400369
2031,Source: c_g_grp,Energy and Water (c_e_g),,0.0044096
2032,Source: c_g_grp,Energy and Water (c_e_g),,0.00455974
2024,Source: c_g_grp,Construction (c_c_g),,0.00200758
2025,Source: c_g_grp,Construction (c_c_g),,0.00263265
2026,Source: c_g_grp,Construction (c_c_g),,0.00367059
2027,Source: c_g_grp,Construction (c_c_g),,0.00467291
2028,Source: c_g_grp,Construction (c_c_g),,0.00573609
2029,Source: c_g_grp,Construction (c_c_g),,0.00454462
2030,Source: c_g_grp,Construction (c_c_g),,0.00480355
2031,Source: c_g_grp,Construction (c_c_g),,0.00465041
2032,Source: c_g_grp,Construction (c_c_g),,0.00478031
2024,Source: c_g_grp,Transport (c_t_g),,0.00205092
2025,Source: c_g_grp,Transport (c_t_g),,0.00216792
2026,Source: c_g_grp,Transport (c_t_g),,0.00251846
2027,Source: c_g_grp,Transport (c_t_g),,0.00222623
2028,Source: c_g_grp,Transport (c_t_g),,0.00257572
2029,Source: c_g_grp,Transport (c_t_g),,0.00283784
2030,Source: c_g_grp,Transport (c_t_g),,0.00261084
2031,Source: c_g_grp,Transport (c_t_g),,0.00392244
2032,Source: c_g_grp,Transport (c_t_g),,0.0041592
2024,Source: c_g_grp,Trade (c_tr_g),,0.00205051
2025,Source: c_g_grp,Trade (c_tr_g),,0.0021935
2026,Source: c_g_grp,Trade (c_tr_g),,0.00231829
2027,Source: c_g_grp,Trade (c_tr_g),,0.0024273
2028,Source: c_g_grp,Trade (c_tr_g),,0.00266054
2029,Source: c_g_grp,Trade (c_tr_g),,0.00276962
2030,Source: c_g_grp,Trade (c_tr_g),,0.00285776
2031,Source: c_g_grp,Trade (c_tr_g),,0.00296604
2032,Source: c_g_grp,Trade (c_tr_g),,0.0030795
2024,Source: c_g_grp,Financial services (c_fs_g),,52.58455
2025,Source: c_g_grp,Financial services (c_fs_g),,71.453
2026,Source: c_g_grp,Financial services (c_fs_g),,71.36864
2027,Source: c_g_grp,Financial services (c_fs_g),,73.45783
2028,Source: c_g_grp,Financial services (c_fs_g),,75.21046
2029,Source: c_g_grp,Financial services (c_fs_g),,82.23511
2030,Source: c_g_grp,Financial services (c_fs_g),,90.79238
2031,Source: c_g_grp,Financial services (c_fs_g),,110.3016
2032,Source: c_g_grp,Financial services (c_fs_g),,139.3246
2024,Source: c_g_grp,Public Services (c_ps_g),,20259.7
2025,Source: c_g_grp,Public Services (c_ps_g),,23217.72
2026,Source: c_g_grp,Public Services (c_ps_g),,23898.4
2027,Source: c_g_grp,Public Services (c_ps_g),,27132.98
2028,Source: c_g_grp,Public Services (c_ps_g),,26772.28
2029,Source: c_g_grp,Public Services (c_ps_g),,30142.23
2030,Source: c_g_grp,Public Services (c_ps_g),,30246.13
2031,Source: c_g_grp,Public Services (c_ps_g),,30287.73
2032,Source: c_g_grp,Public Services (c_ps_g),,29797.14
2024,Source: c_g_grp,Market Services (c_ms_g),,73.39699
2025,Source: c_g_grp,Market Services (c_ms_g),,88.87646
2026,Source: c_g_grp,Market Services (c_ms_g),,102.9374
2027,Source: c_g_grp,Market Services (c_ms_g),,132.6763
2028,Source: c_g_grp,Market Services (c_ms_g),,141.6491
2029,Source: c_g_grp,Market Services (c_ms_g),,159.0753
2030,Source: c_g_grp,Market Services (c_ms_g),,164.8847
2031,Source: c_g_grp,Market Services (c_ms_g),,165.799
2032,Source: c_g_grp,Market Services (c_ms_g),,170.3658
2024,Source: c_g_grp,20393.051572125998,,20407.26026658
2025,Source: c_g_grp,20393.051572125998,,23402.56978673
2026,Source: c_g_grp,20393.051572125998,,24101.54112324
2027,Source: c_g_grp,20393.051572125998,,27374.74918924
2028,Source: c_g_grp,20393.051572125998,,27031.62950113
2029,Source: c_g_grp,20393.051572125998,,30443.50217911
2030,Source: c_g_grp,20393.051572125998,,30570.88450124
2031,Source: c_g_grp,20393.051572125998,,30636.55953883
2032,Source: c_g_grp,20393.051572125998,,30182.38441117
2024,Source: inv_grp,Agriculture (inv_a),,10967.88
2025,Source: inv_grp,Agriculture (inv_a),,10940.99
2026,Source: inv_grp,Agriculture (inv_a),,11587.37
2027,Source: inv_grp,Agriculture (inv_a),,12189.18
2028,Source: inv_grp,Agriculture (inv_a),,14655.49
2029,Source: inv_grp,Agriculture (inv_a),,14480.92
2030,Source: inv_grp,Agriculture (inv_a),,14534.58
2031,Source: inv_grp,Agriculture (inv_a),,15504.29
2032,Source: inv_grp,Agriculture (inv_a),,15941.01
2024,Source: inv_grp,Mining (inv_mi),,5552.655
2025,Source: inv_grp,Mining (inv_mi),,5564.484
2026,Source: inv_grp,Mining (inv_mi),,5880.34
2027,Source: inv_grp,Mining (inv_mi),,6167.917
2028,Source: inv_grp,Mining (inv_mi),,7237.393
2029,Source: inv_grp,Mining (inv_mi),,7178.104
2030,Source: inv_grp,Mining (inv_mi),,7109.342
2031,Source: inv_grp,Mining (inv_mi),,7632.519
2032,Source: inv_grp,Mining (inv_mi),,8007.449
2024,Source: inv_grp,Manufacturing (inv_m),,5972.077
2025,Source: inv_grp,Manufacturing (inv_m),,5970.884
2026,Source: inv_grp,Manufacturing (inv_m),,6232.923
2027,Source: inv_grp,Manufacturing (inv_m),,6516.283
2028,Source: inv_grp,Manufacturing (inv_m),,7604.394
2029,Source: inv_grp,Manufacturing (inv_m),,7696.992
2030,Source: inv_grp,Manufacturing (inv_m),,7673.268
2031,Source: inv_grp,Manufacturing (inv_m),,8191.104
2032,Source: inv_grp,Manufacturing (inv_m),,8494.79099999999
2024,Source: inv_grp,Energy and Water (inv_e),,9.10828
2025,Source: inv_grp,Energy and Water (inv_e),,9.333473
2026,Source: inv_grp,Energy and Water (inv_e),,9.795204
2027,Source: inv_grp,Energy and Water (inv_e),,10.26804
2028,Source: inv_grp,Energy and Water (inv_e),,12.10986
2029,Source: inv_grp,Energy and Water (inv_e),,12.06701
2030,Source: inv_grp,Energy and Water (inv_e),,11.88766
2031,Source: inv_grp,Energy and Water (inv_e),,13.47974
2032,Source: inv_grp,Energy and Water (inv_e),,13.74335
2024,Source: inv_grp,Construction (inv_c),,24028.51
2025,Source: inv_grp,Construction (inv_c),,23467.82
2026,Source: inv_grp,Construction (inv_c),,24890.2
2027,Source: inv_grp,Construction (inv_c),,26066.05
2028,Source: inv_grp,Construction (inv_c),,32022.59
2029,Source: inv_grp,Construction (inv_c),,32898.39
2030,Source: inv_grp,Construction (inv_c),,32444.05
2031,Source: inv_grp,Construction (inv_c),,34910.63
2032,Source: inv_grp,Construction (inv_c),,36179.17
2024,Source: inv_grp,Transport (inv_t),,7711.857
2025,Source: inv_grp,Transport (inv_t),,7756.609
2026,Source: inv_grp,Transport (inv_t),,8088.276
2027,Source: inv_grp,Transport (inv_t),,8336.652
2028,Source: inv_grp,Transport (inv_t),,9756.36299999999
2029,Source: inv_grp,Transport (inv_t),,9515.348
2030,Source: inv_grp,Transport (inv_t),,9916.536
2031,Source: inv_grp,Transport (inv_t),,10531.55
2032,Source: inv_grp,Transport (inv_t),,10866.61
2024,Source: inv_grp,Trade (inv_tr),,23412.99
2025,Source: inv_grp,Trade (inv_tr),,24031.56
2026,Source: inv_grp,Trade (inv_tr),,25237.49
2027,Source: inv_grp,Trade (inv_tr),,26236.77
2028,Source: inv_grp,Trade (inv_tr),,30989.27
2029,Source: inv_grp,Trade (inv_tr),,31366.96
2030,Source: inv_grp,Trade (inv_tr),,31056.69
2031,Source: inv_grp,Trade (inv_tr),,33465.85
2032,Source: inv_grp,Trade (inv_tr),,34647.59
2024,Source: inv_grp,Financial services (inv_fs),,111.1083
2025,Source: inv_grp,Financial services (inv_fs),,109.074
